currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDTWD,5,llama3-8b,0,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,1,0.4,57,0.7,"[""risk_sentiment"", ""economic_growth"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,2,0.4,59,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,3,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,4,0.4,54,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,5,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,6,0.3,58,0.7,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,7,0.7,56,0.7,"[""risk_sentiment"", ""economic_growth""]",2,0.5
USDTWD,5,llama3-8b,8,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,9,0.3,63,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,10,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,11,0.4,54,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,12,0.7,57,0.7,"[""risk_sentiment"", ""economic_growth""]",2,0.5
USDTWD,5,llama3-8b,13,0.4,58,0.65,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,14,0.7,57,0.7,"[""risk_sentiment"", ""economic_growth""]",2,0.5
USDTWD,5,llama3-8b,15,0.3,63,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,16,0.4,54,0.65,"[""trade_balance"", ""risk_sentiment"", ""market_technical""]",3,0.5
USDTWD,5,llama3-8b,17,0.7,56,0.7,"[""risk_sentiment"", ""economic_growth""]",2,0.5
USDTWD,5,llama3-8b,18,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
USDTWD,5,llama3-8b,19,0.3,62,0.55,"[""risk_sentiment""]",1,0.5
