currency,horizon,model,window_idx,news_grounding_rate,explanation_len,coherence_score,factor_types,n_factors_cited,confidence_score
USDEUR,10,llama3-8b,0,0.3,43,0.608,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.8
USDEUR,10,llama3-8b,1,0.3,48,0.638,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,2,0.3,38,0.528,"[""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,llama3-8b,3,0.3,42,0.602,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.8
USDEUR,10,llama3-8b,4,0.9,77,0.6,"[""risk_sentiment"", ""commodity""]",2,0.5
USDEUR,10,llama3-8b,5,0.3,38,0.528,"[""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",4,0.8
USDEUR,10,llama3-8b,6,0.3,36,0.466,"[""inflation"", ""risk_sentiment"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,7,0.3,44,0.614,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,8,0.2,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,llama3-8b,9,0.6,73,0.65,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.5
USDEUR,10,llama3-8b,10,0.3,43,0.608,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,11,0.9,78,0.65,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.5
USDEUR,10,llama3-8b,12,0.3,43,0.608,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,13,0.3,40,0.54,"[""inflation"", ""risk_sentiment"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,14,0.3,43,0.608,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,15,0.3,41,0.596,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.8
USDEUR,10,llama3-8b,16,0.3,44,0.614,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,llama3-8b,17,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",5,0.7
USDEUR,10,llama3-8b,18,0.3,38,0.628,"[""monetary_policy"", ""risk_sentiment"", ""economic_growth"", ""market_technical"", ""commodity""]",5,0.7
USDEUR,10,llama3-8b,19,0.3,37,0.622,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,qwen2.5-7b,0,0.2,33,0.548,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,1,0.2,43,0.658,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,qwen2.5-7b,2,0.2,36,0.516,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,3,0.2,37,0.622,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,4,0.2,36,0.516,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,5,0.2,33,0.498,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,6,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,7,0.2,43,0.658,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,qwen2.5-7b,8,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,9,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,10,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,11,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,12,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,13,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,14,0.2,28,0.568,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,15,0.2,43,0.658,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDEUR,10,qwen2.5-7b,16,0.2,33,0.498,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,17,0.2,36,0.566,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,qwen2.5-7b,18,0.2,43,0.658,"[""monetary_policy"", ""risk_sentiment"", ""market_technical""]",3,0.7
USDEUR,10,qwen2.5-7b,19,0.2,31,0.586,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,mistral-7b,0,0.2,46,0.526,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,1,0.2,47,0.532,"[""risk_sentiment"", ""commodity""]",2,0.8
USDEUR,10,mistral-7b,2,0.2,40,0.54,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,mistral-7b,3,0.2,46,0.526,"[""risk_sentiment"", ""commodity""]",2,0.8
USDEUR,10,mistral-7b,4,0.2,46,0.526,"[""risk_sentiment"", ""commodity""]",2,0.8
USDEUR,10,mistral-7b,5,0.2,47,0.532,"[""risk_sentiment"", ""commodity""]",2,0.8
USDEUR,10,mistral-7b,6,0.2,46,0.526,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,7,0.2,49,0.594,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,8,0.2,47,0.532,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,9,0.2,40,0.54,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,mistral-7b,10,0.2,53,0.6,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,11,0.2,47,0.532,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,12,0.2,42,0.602,"[""risk_sentiment"", ""economic_growth"", ""commodity""]",3,0.7
USDEUR,10,mistral-7b,13,0.2,46,0.526,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,14,0.2,40,0.54,"[""risk_sentiment"", ""market_technical"", ""commodity""]",3,0.7
USDEUR,10,mistral-7b,15,0.2,47,0.532,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,16,0.2,39,0.634,"[""monetary_policy"", ""risk_sentiment"", ""market_technical"", ""commodity""]",4,0.7
USDEUR,10,mistral-7b,17,0.2,45,0.52,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,18,0.2,37,0.472,"[""risk_sentiment"", ""commodity""]",2,0.7
USDEUR,10,mistral-7b,19,0.2,45,0.52,"[""risk_sentiment"", ""commodity""]",2,0.7
